uni,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Apps transformed,Accept transformed,Enroll transformed,Top10perc transformed,F.Undergrad transformed,P.Undergrad transformed,Outstate transformed,Books transformed,Personal transformed,PhD transformed,Terminal transformed,S.F.Ratio transformed,perc.alumni transformed,Expend transformed,Accept_Rate,Outstate_Tier,Outstate_Tier_Encoded,Private_encoded,Apps transformed scaled,Top10perc transformed scaled,F.Undergrad transformed scaled,P.Undergrad transformed scaled,Outstate transformed scaled,Books transformed scaled,Personal transformed scaled,PhD transformed scaled,S.F.Ratio transformed scaled,perc.alumni transformed scaled,Expend transformed scaled,Private_encoded scaled
Abilene Christian University,Yes,1660,1232,721,23,52,2885,537,7440,3300,450,2200,70.0,78,18.1,12,7041,60,0.029312272275010876,0.04288239431274189,0.4933656112425496,-0.055200718403029835,0.43216965815596997,0.29827525513441944,-0.6932389404495392,-0.6133100628932622,1.2708345600115423,-0.2822395518114497,-0.28553671812966114,1.0174287020688948,2.5649493574615367,-0.4912970586405063,0.7421686746987952,Tier 1,0.0,1,0.029312272275010553,-0.05520071840302981,0.4321696581559707,0.2982752551344193,-0.6932389404495389,-0.6133100628932651,1.2708345600115423,-0.2822395518114496,1.0174287020688957,-0.7221596165599387,-0.49129705864050294,0.6130958528832952
Adelphi University,Yes,2186,1924,512,16,29,2683,1227,12280,6450,750,1500,29.0,30,12.2,16,10527,56,0.28434669507156074,0.48759673934664916,0.14244007812373574,-0.5871679226871698,0.36395770875153927,0.8671677596340062,0.5556885235172624,1.3022200551005034,0.4549153027020339,-2.1677871503142168,-2.252377593209516,-0.4346095870330258,2.833213344056216,0.5515921981628046,0.8801463860933212,Tier 2,1.0,1,0.28434669507156046,-0.5871679226871698,0.36395770875153993,0.867167759634006,0.5556885235172628,1.3022200551005005,0.4549153027020338,-2.1677871503142168,-0.434609587033025,-0.28422859422641605,0.551592198162808,0.6130958528832952
Adrian College,Yes,1428,1097,336,22,50,1036,99,11250,3750,400,1165,53.0,66,12.9,30,8735,54,-0.11237548358048875,-0.07520436038935824,-0.3154782483361486,-0.12305785184375591,-0.6376249552526625,-0.7306012715900315,0.3215613278931444,-1.0374664620502536,-0.07099493073970593,-1.2437860097000295,-1.0448647336429244,-0.24985413726745379,3.4339872044851463,0.09586822967712035,0.7682072829131653,Tier 2,1.0,1,-0.11237548358048911,-0.12305785184375588,-0.6376249552526619,-0.7306012715900316,0.3215613278931448,-1.0374664620502565,-0.07099493073970603,-1.2437860097000293,-0.24985413726745295,0.6965124818629844,0.09586822967712375,0.6130958528832952
Agnes Scott College,Yes,417,349,137,60,89,510,63,12960,5450,450,875,92.0,97,7.7,37,19016,59,-1.331841697067143,-1.2935376767515474,-1.3953882483523024,1.6141166014117847,-1.5308683596589256,-0.977732578480075,0.703267921571171,-0.6133100628932622,-0.654867984385544,1.33307333133831,1.3646918631281069,-1.7407550886575784,3.6375861597263857,1.7259439437387079,0.8369304556354916,Tier 2,1.0,1,-1.3318416970671434,1.6141166014117847,-1.5308683596589254,-0.9777325784800751,0.7032679215711715,-0.6133100628932651,-0.6548679843855442,1.3330733313383103,-1.7407550886575776,1.0288802355322406,1.7259439437387112,0.6130958528832952
Alaska Pacific University,Yes,193,146,55,16,44,249,869,7560,4120,800,1500,76.0,72,11.9,2,10922,15,-2.1533058949397765,-2.288488518975785,-2.6578531411322994,-0.5871679226871698,-2.586463014369322,0.6240006859663728,-0.6565926850057422,1.5532793221777257,0.4549153027020339,0.11702645125926653,-0.6907977722592065,-0.5150498114932625,1.0986122886681098,0.6362355805755847,0.7564766839378239,Tier 1,0.0,1,-2.1533058949397774,-0.5871679226871698,-2.586463014369322,0.6240006859663727,-0.656592685005742,1.5532793221777228,0.4549153027020338,0.11702645125926664,-0.5150498114932616,-3.115900572152606,0.6362355805755882,0.6130958528832952
Albertson College,Yes,587,479,158,38,62,678,41,13500,3335,500,675,75.0,73,9.4,11,9727,55,-0.9819193342809984,-0.9468538006773457,-1.2136152564667124,0.7675847409999096,-1.1553312490383836,-1.2025923239204166,0.8168804440971071,-0.22842386667757714,-1.1736103410433703,,-0.6268807912936191,-1.219288495842037,2.4849066497880004,0.36417413850212516,0.8160136286201022,Tier 2,1.0,1,-0.981919334280999,0.7675847409999096,-1.1553312490383831,-1.2025923239204168,0.8168804440971077,-0.22842386667758008,-1.1736103410433703,0.04832421291887901,-1.219288495842036,-0.8528263722686615,0.36417413850212854,0.6130958528832952
Albertus Magnus College,Yes,353,340,103,17,45,416,230,13290,5720,500,1500,90.0,93,11.5,26,8861,63,-1.5055726408129186,-1.3224895655277928,-1.7711344876976154,-0.5017164322200879,-1.8142328355358603,-0.23914514807209789,0.7730587114674665,-0.22842386667757714,0.4549153027020339,1.1690808548601646,0.9685124280279964,-0.6235432314264998,3.295836866004329,0.1324991654011015,0.9631728045325779,Tier 2,1.0,1,-1.5055726408129193,-0.5017164322200879,-1.8142328355358601,-0.23914514807209802,0.7730587114674671,-0.22842386667758008,0.4549153027020338,1.1690808548601648,-0.6235432314264989,0.4709871710129802,0.1324991654011049,0.6130958528832952
Albion College,Yes,1899,1720,489,37,68,1594,32,13868,4826,450,850,89.0,100,13.7,37,11487,73,0.15458700753137233,0.3770855863369489,0.09390081594086813,0.7211624200833137,-0.15829578804485464,-1.3280489215668767,0.89260571410671,-0.6133100628932622,-0.7133073594983343,1.088365515897431,1.6797533027611797,-0.04342272256216694,3.6375861597263857,0.7494274283022594,0.9057398630858347,Tier 2,1.0,1,0.15458700753137203,0.7211624200833137,-0.15829578804485406,-1.328048921566877,0.8926057141067105,-0.6133100628932651,-0.7133073594983345,1.0883655158974312,-0.04342272256216611,1.0288802355322406,0.7494274283022628,0.6130958528832952
Albright College,Yes,1038,839,227,30,63,973,306,15595,4400,300,500,79.0,84,11.3,23,11644,80,-0.4178378511167671,-0.3517177495712697,-0.7692876289594286,0.36697415013628076,-0.7112496328455621,-0.06319291611227368,1.2313792374135821,-2.0469262120124276,-1.7612021643396452,0.32830123229754177,0.17352500962299197,-0.6783404959869432,3.1780538303479458,0.7793686058227741,0.8082851637764933,Tier 3,2.0,1,-0.4178378511167675,0.36697415013628076,-0.7112496328455615,-0.0631929161122738,1.2313792374135828,-2.0469262120124307,-1.7612021643396452,0.3283012322975419,-0.6783404959869423,0.27871072767331073,0.7793686058227776,0.6130958528832952
Alderson-Broaddus College,Yes,582,498,172,21,44,799,78,10468,3380,660,1800,40.0,41,11.5,15,8991,52,-0.9905663057972096,-0.9047908920801377,-1.1072801866453652,-0.1932470423613438,-0.9491171228134194,-0.8623318083229107,0.134224753781665,0.811029782480891,0.840445648422016,-1.8079898977936093,-2.0303982916738934,-0.6235432314264998,2.772588722239781,0.16946080685117498,0.8556701030927835,Tier 2,1.0,1,-0.9905663057972102,-0.19324704236134377,-0.949117122813419,-0.8623318083229108,0.1342247537816654,0.8110297824808881,0.8404456484220159,-1.807989897793609,-0.6235432314264989,-0.3831960439675105,0.1694608068511784,0.6130958528832952
Alfred University,Yes,1732,1425,472,37,75,1830,110,16548,5406,500,600,82.0,88,11.3,31,10932,73,0.06899057905329407,0.18960415563033936,0.05629915440159747,0.7211624200833137,-0.013985480352037364,-0.6713897701255314,1.4078544980290706,-0.22842386667757714,-1.4057817650474271,0.547315906408957,0.5107083351693819,-0.6783404959869432,3.4657359027997265,0.6383170802489734,0.8227482678983834,Tier 3,2.0,1,0.06899057905329375,0.7211624200833137,-0.013985480352036745,-0.6713897701255315,1.4078544980290713,-0.22842386667758008,-1.4057817650474271,0.5473159064089571,-0.6783404959869423,0.7483410559744619,0.6383170802489768,0.6130958528832952
Allegheny College,Yes,2652,1900,484,44,77,1707,44,17080,4440,400,600,73.0,91,9.9,41,11711,76,0.4603246685915219,0.47526339421852687,0.08299999545726752,1.0285425548159215,-0.08616607824190928,-1.1662791245185322,1.5034802039857829,-1.0374664620502536,-1.4057817650474271,-0.08649263453270115,0.7804683371675396,-1.0731000870048994,3.7376696182833684,0.7919573140578903,0.7164404223227753,Tier 3,2.0,1,0.46032466859152166,1.0285425548159215,-0.08616607824190867,-1.1662791245185324,1.5034802039857837,-1.0374664620502565,-1.4057817650474271,-0.08649263453270103,-1.0731000870048986,1.192262774802249,0.7919573140578937,0.6130958528832952
