Property_id,Offer,URL,Property_type,Include_w_e,Title,Area,Governorate,Beds,Baths,Size,Availability_date,Agent_name,Agency,Amenities,rent
6046,Rent,https://www.propertyfinder.bh/en/plp/rent/villa-for-rent-muharraq-governorate-amwaj-islands-amwaj-avenue-946327.html,Villa,Inclusive,BTRAND NEW LUXURY VILLA FOR RENT AMWAJ,"Amwaj Avenue, Amwaj Islands",Muharraq Governorate,3+ Maid,4,"2,368 sqft / 220 sqm",9 Apr 2025,Savio Fernandes,Almoayyed property solutions,6.0,1000.0
2240,Rent,https://www.propertyfinder.bh/en/plp/rent/villa-for-rent-muharraq-governorate-diyar-al-muharraq-953828.html,Villa,Exclusive,First Resident | Quiet Area | Luxurious,Diyar Al Muharraq,Muharraq Governorate,5,6,"3,229 sqft / 300 sqm",16 Sep 2025,Al Lagoon Real Estate,Al Lagoon Real Estate,5.0,700.0
6248,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-al-juffair-945676.html,Apartment,Inclusive,Studio Apartment for rent located in Juffair,Al Juffair,Capital Governorate,studio,1,484 sqft / 45 sqm,17 Aug 2025,Najeeb Hejres,Green Line Real Estate,12.0,260.0
7177,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-northern-governorate-jidhafs-942731.html,Apartment,Exclusive,Apartment for Rent in Jidhafs – Prime Location,Jidhafs,Northern Governorate,3,3,"1,507 sqft / 140 sqm",6 Aug 2025,Sayed Sadeq Jaafar,Grnata Real Estate,2.0,250.0
7842,Rent,https://www.propertyfinder.bh/en/plp/rent/villa-for-rent-capital-governorate-al-juffair-940618.html,Villa,Exclusive,Navy Approved| 5 BR | Private Pool |Gardens,Al Juffair,Capital Governorate,5+ Maid,5,"4,844 sqft / 450 sqm",30 Jul 2025,Zsuzsanna Gecse,Arabian Homes Properties,13.0,1280.0
3028,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-muharraq-governorate-amwaj-islands-952579.html,Apartment,Inclusive,AMWAJ ISLAND | LUXURIOUS | PRIME LOCATIONS,Amwaj Islands,Muharraq Governorate,2,3,"1,238 sqft / 115 sqm",11 Sep 2025,AMMAR ANSARI,Jes Property Consultancy,10.0,350.0
6508,Rent,https://www.propertyfinder.bh/en/plp/rent/villa-for-rent-muharraq-governorate-busaiteen-944882.html,Villa,Inclusive,Fully Furnished Beautiful Villa with Private Pool,Busaiteen,Muharraq Governorate,4+ Maid,4,"3,014 sqft / 280 sqm",14 Aug 2025,Majeed Moosa,River West Properties,5.0,800.0
1043,Rent,https://www.propertyfinder.bh/en/plp/rent/villa-for-rent-muharraq-governorate-busaiteen-955652.html,Villa,Exclusive,Spacious 4BR Villa with Private Pool in Busaiteen,Busaiteen,Muharraq Governorate,4+ Maid,5,"4,898 sqft / 455 sqm",23 Sep 2025,V.C. Edison,Alaska Properties,13.0,700.0
2390,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-muharraq-governorate-busaiteen-953577.html,Apartment,Inclusive,Luxury apartment 2BHK furnished including for rent,Busaiteen,Muharraq Governorate,2,2,"1,615 sqft / 150 sqm",30 Sep 2025,Mosa Ali,Al Wrd Real Estate,5.0,440.0
10309,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-reef-island-922346.html,Apartment,Inclusive,Sea View | Luxury Living | Terrace,Reef Island,Capital Governorate,1,2,"1,001 sqft / 93 sqm",16 May 2025,Samar Kafri,Kensington Real Estate,4.0,625.0
8834,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-al-juffair-935032.html,Apartment,Inclusive,Sea View | Balcony | Maids Room | Amenities,Al Juffair,Capital Governorate,2+ Maid,4,"1,776 sqft / 165 sqm",8 Jul 2025,Lijas Ali,Underhill Real Estate,13.0,550.0
1593,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-muharraq-governorate-dilmunia-island-essence-of-dilmunia-954836.html,Apartment,Inclusive,Resort facilities|Mesmarizing Sea view|huge balcon,"Essence of Dilmunia, Dilmunia Island",Muharraq Governorate,2,4,"2,153 sqft / 200 sqm",29 Apr 2025,Ernest Gnanadas,Deccan Real Estate,19.0,800.0
2392,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-manama-zinj-953575.html,Apartment,Inclusive,HUGE FLAT | SPACIOUS | LOWEST PRICE | FACILITIES,"Zinj, Manama",Capital Governorate,3,4,"1,292 sqft / 120 sqm",15 Sep 2025,Zuhair Tlili,Instant Homz,8.0,550.0
3083,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-manama-al-burhama-952505.html,Apartment,Inclusive,BRAND NEW 1BHK | ELEGANT | MODERN | PERFECT CHOICE,"Al Burhama, Manama",Capital Governorate,1,1,646 sqft / 60 sqm,11 Sep 2025,Loai Bitar,Instant Homz,5.0,300.0
